10	20	28	48
11	18	37	55
12	24	24	48
13	15	20	35
14	16	46	62
15	12	3	15
16	13	55	68
17	7	2	9
18	39	47	86
19	15	23	38
20	0	0	0
21	22	29	51
22	25	89	114
23	37	173	210
24	26	74	100
25	27	62	89
26	16	61	77
27	19	31	50
28	6	13	19
29	40	60	100
30	25	19	44
31	24	39	63
32	24	41	65
33	15	38	53
34	32	44	76
35	7	60	67
36	30	55	85
37	24	26	50
38	23	68	91
39	22	17	39
40	14	27	41
41	10	5	15
42	18	74	92
43	31	36	67
44	20	20	40
45	8	22	30
46	17	34	51
47	0	0	0
48	11	20	31
49	4	1	5
50	0	229	229
51	14	28	42
52	2	201	203
53	9	30	39
54	32	26	58
55	29	38	67
56	31	61	92
57	15	15	30
58	15	31	46
59	48	75	123
60	15	25	40
61	36	154	190
62	28	30	58
63	39	65	104
64	32	42	74
65	8	10	18
66	84	181	265
67	21	28	49
68	22	28	50
69	16	48	64
70	26	27	53
71	44	36	80
72	24	19	43
73	31	23	54
74	40	110	150
75	16	41	57
76	50	36	86
77	192	10	202
78	59	135	194
79	10	4	14
80	0	0	0
81	0	0	0
82	38	6	44
83	2	0	2
84	0	0	0
85	0	0	0
86	5	63	68
87	2	1	3
88	0	0	0
89	1	9	10
